#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BAD	NFKB1	9606.ENSP00000378040	9606.ENSP00000226574	0	0	0	0	0	0	0	0.185	0.185
BLK	NFKB1	9606.ENSP00000259089	9606.ENSP00000226574	0	0	0	0	0	0.120	0	0.166	0.234
BLK	CD274	9606.ENSP00000259089	9606.ENSP00000370989	0	0	0	0	0.065	0	0	0.128	0.150
BLK	IL10	9606.ENSP00000259089	9606.ENSP00000412237	0	0	0	0	0	0.060	0	0.247	0.261
CD274	NFKB1	9606.ENSP00000370989	9606.ENSP00000226574	0	0	0	0	0.125	0	0	0.172	0.245
CD274	IRF1	9606.ENSP00000370989	9606.ENSP00000245414	0	0	0	0	0.185	0	0	0.529	0.601
CD274	FCAR	9606.ENSP00000370989	9606.ENSP00000347714	0	0	0	0	0	0	0	0.155	0.155
CD274	TNFSF14	9606.ENSP00000370989	9606.ENSP00000469049	0	0	0	0	0.062	0	0	0.292	0.307
CD274	IL10	9606.ENSP00000370989	9606.ENSP00000412237	0	0	0	0	0.062	0	0	0.825	0.829
FCAR	IL10	9606.ENSP00000347714	9606.ENSP00000412237	0	0	0	0	0.088	0	0	0.325	0.358
IL10	NFKB1	9606.ENSP00000412237	9606.ENSP00000226574	0	0	0	0	0	0	0	0.506	0.506
IL10	IRF1	9606.ENSP00000412237	9606.ENSP00000245414	0	0	0	0	0.070	0	0	0.635	0.646
IL10	TNFSF14	9606.ENSP00000412237	9606.ENSP00000469049	0	0	0	0	0.091	0	0	0.334	0.369
IRF1	NFKB1	9606.ENSP00000245414	9606.ENSP00000226574	0	0	0	0	0.155	0.213	0	0.517	0.651
IRF1	TNFSF14	9606.ENSP00000245414	9606.ENSP00000469049	0	0	0	0	0.108	0	0	0.122	0.183
NFKB1	TNFSF14	9606.ENSP00000226574	9606.ENSP00000469049	0	0	0	0	0.062	0	0	0.215	0.232
