#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BAD	SYK	9606.ENSP00000378040	9606.ENSP00000364907	0	0	0	0	0	0.071	0	0.205	0.230
BAD	BCL2L11	9606.ENSP00000378040	9606.ENSP00000376943	0	0	0	0	0	0.270	0.900	0.559	0.964
BCL2L11	IL2RB	9606.ENSP00000376943	9606.ENSP00000216223	0	0	0	0	0	0	0	0.299	0.299
BCL2L11	GZMB	9606.ENSP00000376943	9606.ENSP00000216341	0	0	0	0	0	0	0	0.391	0.390
BCL2L11	NCR1	9606.ENSP00000376943	9606.ENSP00000291890	0	0	0	0	0	0	0	0.294	0.294
BCL2L11	RASGRP1	9606.ENSP00000376943	9606.ENSP00000310244	0	0	0	0	0	0	0	0.260	0.260
BCL2L11	SYK	9606.ENSP00000376943	9606.ENSP00000364907	0	0	0	0	0.062	0.057	0	0.324	0.349
BCL2L11	IL2RA	9606.ENSP00000376943	9606.ENSP00000369293	0	0	0	0	0	0	0	0.318	0.318
GZMB	IL2RB	9606.ENSP00000216341	9606.ENSP00000216223	0	0	0	0	0.496	0	0	0.606	0.793
GZMB	RASGRP1	9606.ENSP00000216341	9606.ENSP00000310244	0	0	0	0	0.065	0	0	0.159	0.180
GZMB	SYK	9606.ENSP00000216341	9606.ENSP00000364907	0	0	0	0	0.136	0.056	0	0.364	0.435
GZMB	IL2RA	9606.ENSP00000216341	9606.ENSP00000369293	0	0	0	0	0.167	0	0	0.565	0.622
GZMB	NCR1	9606.ENSP00000216341	9606.ENSP00000291890	0	0	0	0	0.062	0	0	0.703	0.709
IL12A	IL2RB	9606.ENSP00000303231	9606.ENSP00000216223	0	0	0	0	0	0	0.600	0.091	0.620
IL12A	IL12B	9606.ENSP00000303231	9606.ENSP00000231228	0	0	0	0	0	0.951	0.900	0.669	0.998
IL12A	IL2RA	9606.ENSP00000303231	9606.ENSP00000369293	0	0	0	0	0	0	0.600	0.189	0.661
IL12B	IL2RB	9606.ENSP00000231228	9606.ENSP00000216223	0	0	0	0	0	0	0.600	0	0.600
IL12B	IL2RA	9606.ENSP00000231228	9606.ENSP00000369293	0	0	0	0	0	0	0.600	0.080	0.616
IL2RA	IL2RB	9606.ENSP00000369293	9606.ENSP00000216223	0	0	0	0	0.089	0.463	0.900	0.986	0.999
IL2RA	NCR1	9606.ENSP00000369293	9606.ENSP00000291890	0	0	0	0	0	0	0	0.445	0.445
IL2RA	RASGRP1	9606.ENSP00000369293	9606.ENSP00000310244	0	0	0	0	0	0	0	0.187	0.187
IL2RA	SYK	9606.ENSP00000369293	9606.ENSP00000364907	0	0	0	0	0.079	0	0.900	0.685	0.968
IL2RB	RASGRP1	9606.ENSP00000216223	9606.ENSP00000310244	0	0	0	0	0.076	0	0	0.244	0.271
IL2RB	NCR1	9606.ENSP00000216223	9606.ENSP00000291890	0	0	0	0	0.064	0	0	0.647	0.655
IL2RB	SYK	9606.ENSP00000216223	9606.ENSP00000364907	0	0	0	0	0.205	0.213	0.900	0.188	0.942
NCR1	SYK	9606.ENSP00000291890	9606.ENSP00000364907	0	0	0	0	0.052	0	0	0.392	0.398
RASGRP1	SYK	9606.ENSP00000310244	9606.ENSP00000364907	0	0	0	0	0.062	0.100	0	0.462	0.507
